Identifier,Date of Publication
1059442,
1059658,1826
1059974,1850
1059975,1850
1061535,1830
1061536,
1061623,1855
1062196,1884
1063831,1876
1064116,1862
1064289,1834
1065269,1857
1066325,1852
1067555,1828
1067912,1867
1067944,1863
1070932,1880
1071733,1899
1072720,1856
1140593,1879
1142434,1812
1144078,1896
1144649,1860/3
1144810,1839
1152774,1862
1153273,1769
1153730,1757
1153939,1870
1153962,1717
1153986,1753
1154267,1827
1154397,1825
1155858,
1155933,1880
1156103,1855
1156265,1879
1157569,1872
1159150,1811
1160743,1876
1160879,1843
1161718,1879
1162017,1864
1162093,1884
1162147,1872
1162303,1876
1162497,1870
1164123,1873
1164493,1899
1165041,1861
1165042,1862
1165043,1863
1165057,1855
1165798,1872
1166192,1677
1166847,1802
1167756,1818
1168365,
1168831,
1169570,1898
1169627,1819
1169717,1846
1171024,
1171294,1737
1173260,1862
1173354,
1173400,1853
1174847,1860
1176030,
1176353,1864
1178092,1811
1178475,1897
1179380,
1179671,
1179824,
1180684,1853
1183667,1868
1184259,1848
1184401,1864
1184451,1891
1184742,1893
1184864,1803
1184948,
1185891,1843
1186355,1855
1186704,1639
1186750,1846
1187131,1866
1187254,1836
1187348,1661
1187717,
1188919,1746
1189751,1879
1189851,1890
1190358,1888
1191604,1891
1192420,1869
1192421,
1192503,1889
1193248,1894
1195062,1859
1195473,1876
1196483,1837
1197054,1798
1197192,1897
1197360,1861
1197410,1808
1197533,
1199629,1882
1199724,1887
1201404,
1203145,1882
1203305,1829
1203798,1869
1203914,1876
1204492,1871
1204837,1844
1206199,1886
1206786,1823
1207130,1878
1207131,1873
1207423,1873
1207991,1879
1209176,
1209179,
1209237,1818
1209238,1819
1211883,1895
1213489,1852
1214423,1884
1215195,1897
1215935,1897
1215953,1816
1216328,1871
1218108,1888
1218986,1883
1219863,1879
1219870,1876
1220085,1889
1220141,1888
1220413,1836
1220421,1897
1220642,1828
1220699,1881
1220788,1882
1221318,1870
1221718,1898
1223715,1879
1223941,1811
1224158,1847
1224333,1893
1224491,1856
1225077,1861
1225081,1855
1225358,1869
1225390,1892
1226967,
1228073,1845
1228106,1832
1228789,1850
1229455,1896
1229458,
1230543,1806
1230547,1845
1230568,1872
1230569,1872
1230911,1895
1231247,1881
1231347,1877
1231529,1878
1231823,
1232064,
1232550,1870
1232576,
1232583,1867
1232586,1864
1232881,
1233976,1890
1234111,1877
1236576,1899
1237762,1826
1237851,1871
1238021,1878
1238572,1866
1238638,1879
1238809,1894
1239330,1867
1240627,1808
1240655,1819
1243935,1863
1244263,
1244698,1894
1244743,1894
1244899,1880
1244969,1863
1245095,1841
1245466,1820
1245896,
1246166,1893
1246294,1897
1246734,
1247040,1892
1247298,1863
1247362,1866
1248544,1869
1248641,1884
1250007,1856
1251446,1859
1252689,1867
1253003,1640
1253024,1639
1253037,1685
1253806,
1254159,1821
1254160,1821
1254449,1897
1254800,1859
1255062,1898
1255652,1874
1255653,1868
1255789,1883
1255870,1670
1257099,1821
1257398,1874
1257399,1874
1257448,1854
1257520,1863
1257821,1893
1258486,1867
1258661,1822
1258720,1897
1258842,
1258916,1864
1259017,1882
1259903,1895
1260427,1891
1260978,1890
1261202,1875
1261484,1898
1261652,1857
1262661,1851
1264116,1869
1265306,1892
1265360,
1265363,1869
1265396,1896
1266102,1877
1266188,1868
1266335,
1266718,1834
1267870,1881
1267871,1881
1268005,1827
1269462,1850
1269984,1849
1270246,1888
1270889,1890
1270932,1893
1271231,1875
1272399,1893
1272520,1872
1273595,1820
1273707,1869
1274464,1869
1276058,1848
1276358,1822
1277421,1890
1277774,1890
1278374,1804
1278407,1691
1279230,1880
1281327,1810
1281331,
1281360,1808
1281370,1780
1282663,1899
1282828,1865
1283107,1827
1283971,1859
1284056,1888
1284131,
1284312,1858
1304839,1854
1306116,1781
1306538,1865
1306654,1896
1307199,1890
1307227,1852
1311260,1859
1311341,1886
1311432,1879
1311973,
1313323,1892
1314810,1881
1315204,1857
1315524,1859
1315685,1895
1315873,1899
1315937,1878
1316113,1899
1316224,1800
1316890,1814
1316891,1815
1318028,1889
1318325,1850
1318338,1897
1319079,1731
1320626,1886
1321062,1887
1321156,1863
1321211,1845
1321989,1872
1322635,1878
1322642,1873
1322908,1892
1322984,1876
1324076,
1324303,1889
1324444,1890
1324565,1872
1326913,1761
1327353,1889
1329612,
1330970,1880
1330988,1869
1331199,1883
1332199,1841
1332459,1880
1332499,1862
1333255,1847
1333597,1836
1334196,1892
1334269,
1334271,
1334803,
1334960,1816
1335585,1882
1335586,1843
1336028,1850
1336563,1865
1337251,1888
1337854,1844
1339211,1844
1340313,
1340708,1897
1341190,1892
1341372,1858
1342159,1848
1342271,1875
1342933,1800
1343408,1891
1343981,1842
1344270,1893
1344332,1881
1344394,1838
1344489,1746
1345167,1894
1345186,1887
1345187,1888
1345188,1890
1345189,1898
1345304,1898
1345372,1861
1345542,1897
1345547,1896
1345557,1895
1345909,
1345955,
1346912,1843
1347529,1874
1347631,1790
1350521,1849
1350526,1847
1351069,1895
1351545,1829
1352199,
1352867,1860
1353653,1846
1355128,1823
1356101,1812
1356516,1848
1356655,
1357006,1895
1357183,1887
1357795,1861
1358433,
1358435,1824.
1359363,1884
1359871,1890
1360120,1889
1360584,1890
1362064,1894
1362155,1835
1362481,1877
1363770,1869
1364170,1791
1364462,1865
1364912,1850
1366936,1861
1368089,1882
1368094,1866
1368095,1874
1368391,1854
1368550,1861
1368679,1802
1369049,1882
1369288,1891
1369671,1892
1369687,
1370299,1758
1370322,1779
1372684,1896
1372685,
1372687,1898
1372815,1866
1372981,1874
1373034,1874
1373128,1819
1373415,
1374017,1884
1374138,
1374934,1851
1375643,1898
1376528,1570
1376553,1865
1376736,
1378023,1895
1378646,1862
1378660,1887
1379800,1721
1379829,
1380613,1885
1380833,1890
1381054,1839
1382201,1896
1382202,1898
1383167,1889
1383277,1864
1384111,1845
1384239,1899
1384268,1865
1384312,
1384943,1868
1385454,1898
1385492,1870
1385828,1846
1385943,1805
1386513,1877
1386717,1860
1387954,1897
1388488,1820
1388986,
1389512,1846
1390016,1869
1390531,1818
1391386,
1391452,1890
1391726,1872
1392034,1875
1392125,
1393441,1848
1393569,1855
1394358,1891
1394601,1891
1394792,1898
1396403,1801
1396846,1888
1397245,1892
1397883,1876
1397885,1877
1406888,1885
1407872,1853
1408300,1864
1408486,
1408974,1858
1409276,1891
1409278,1892
1411736,1842
1413765,
1413778,1796
1413819,1838
1413820,1848
1413823,1854
1413828,
1413858,1899
1414094,1898
1415019,1899
1415811,1870
1417354,1850
1417370,1842
1419047,1879
1419186,1883
1419908,1809
1420624,1864
1421851,1886
1421942,1701
1422853,1897
1423225,1878
1423625,
1423647,1880
1423649,1883
1424252,1841
1424793,1886
1424831,1861
1425159,1897
1425345,1879
1425346,1871
1425559,1850
1426156,1820
1427044,1884
1427381,1892
1428403,1841
1429502,1804
1429731,1850
1429787,1859
1430229,
1430231,
1430249,1801
1430323,1853
1430423,1876
1430577,1890
1430902,1850
1431361,1876
1431382,1889
1431690,1854
1431737,1893
1433392,
1434611,1860
1435554,1894
1437879,1851
1439071,1875
1439072,1876
1439073,1880
1439507,
1439510,
1439649,1852
1440344,1890
1441022,1830
1441697,1866
1441927,1857
1442148,1540
1442254,1887
1442257,1886
1442259,1891
1442899,1856
1442901,1898
1443378,1862
1444991,
1445091,1855
1445092,1851
1445609,1867
1446002,1888
1446071,1821
1446626,1881
1448167,1862
1448168,1885
1448178,1831
1448180,1891
1449461,1875
1449792,1889
1450707,1873
1450998,1803
1451027,1870
1451609,
1452762,1849
1453617,1884
1453848,1806
1453851,1820
1453862,1854
1453864,1858
1453899,
1453900,1865
1453904,
1453907,
1453908,
1453947,1805
1453965,1820
1453994,1866
1454079,1872
1454207,1885
1454241,1881
1454244,1886
1454335,1819
1454347,1837
1454483,1847
1454689,
1454713,1896
1454726,
1455202,1751
1455617,1852
1456370,1864
1456382,1852
1457017,1861
1457411,1891
1458051,1889
1459633,1844
1460676,1891
1460685,1865
1461218,1890
1461595,1829
1462330,1899
1462851,1898
1462878,1896
1463004,1839
1465181,1890
1465920,1894
1466115,1881
1466417,1880
1466748,1820
1466751,1808
1466991,1880
1466998,1895
1467103,1865
1467104,1875
1468447,1898
1469086,1862
1471222,1867
1471763,1818
1473603,1881
1474003,1822
1474062,1870
1474066,1892
1474068,1893
1474535,1898
1476129,1897
1476229,1891
1476241,1880
1476925,1861
1477537,1876
1477882,1887
1477897,
1478218,1886
1478326,1885
1478351,1841
1479302,1891
1479822,1899
1480910,1815
1480911,1816
1481203,1852
1481204,1859
1482337,1887
1483238,1819
1484265,1845
1484525,1856
1486115,1895
1486286,1860
1487472,1803
1487617,1896
1487623,1801
1489070,1882
1489370,1809
1491693,
1491694,
1492268,1871
1492270,1870
1493736,1878
1493749,1895
1494306,1807
1494360,1786
1494496,1775
1494587,1898
1494588,1898
1494637,1843
1494642,1875
1494761,1825
1495328,1876
1495576,1885
1495771,
1496495,1772
1497433,1880
1499126,1881
1499422,1884
1499448,1889
1499731,1889
1499745,1737
1499961,1827
1500310,
1502704,1891
1503244,1857
1503245,1866
1503247,1877
1503410,1864
1503411,1865
1503940,1858
1504679,1867
1504806,1894
1505126,1855
1505127,1878
1505147,1898
1505182,1896
1505823,1876
1506408,1819
1507282,1819
1507542,1874
1507827,1892
1507868,1807
1508122,1869
1508625,1899
1509343,1864
1509645,1844
1509795,1633
1510188,1818
1510950,1752
1511196,1860
1512492,1841
1512787,1867
1513427,
1513821,1845
1514272,
1515216,1876
1516212,1896
1516239,1872
1518897,1845
1519501,1880
1520594,1850
1520857,1888
1522141,1888
1523982,1877
1524189,
1524267,1873
1524273,1854
1524276,1872
1524751,1880
1524756,1879
1525678,1832
1525813,1886
1526228,1880
1526229,
1528137,1864
1528326,1862
1529524,1862
1529621,1881
1529657,1699
1529659,1703
1529852,1874
1530656,1648
1530918,1894
1530943,1886
1533658,1892
1533787,1860
1535108,
1535493,1893
1536828,1878
1537034,1854
1537076,1834
1537775,1868
1538375,1889
1538472,1803
1539168,1816
1539179,1888
1539340,1889
1539349,
1539704,1882
1540853,
1540854,1853
1540929,1899
1541639,1896
1541676,1877
1541677,1877
1541678,1870
1541679,1878
1541681,1879
1541683,1891
1541692,1854
1541693,1854
1541697,1856
1541838,1898
1542870,1844
1543891,1897
1543964,1834
1544493,1876
1544915,1807
1545385,1881
1546382,
1547982,1801
1547985,1819
1547993,1811
1549628,1850
1549629,1850
1549853,
1551248,1744
1551954,1720
1552020,1892
1552224,1861
1552290,1824
1552493,1891
1552522,1865
1552689,1891
1552712,1890
1552775,1897
1552913,1835
1552980,1871
1553560,1864
1553618,1640
1553641,1887
1553747,1896
1554950,
1556289,1871
1556481,1872
1556891,1880
1557404,1884
1557425,1895
1557490,1867
1557709,1879
1557710,1880
1557712,
1558392,1855
1558544,1883
1559196,1859
1559332,1898
1559379,1812
1559804,1867
1560233,1801
1560292,1870
1561581,1889
1561635,1895
1561816,1876
1562803,1832
1563734,1875
1564165,1897
1564655,
1565253,1866
1565338,1878
1565345,1884
1565412,
1565519,1885
1565528,1880
1565531,1893
1565534,1893
1565888,1839
1566648,1882
1567743,1888
1568039,1893
1568080,1882
1568420,
1568635,1850
1568636,1853
1569071,1864
1569074,1880
1569903,1826
1570075,
1570673,1838
1571051,
1571190,
1571486,1861
1571488,1877
1571491,1841
1571493,
1571495,1843
1571496,1850
1571497,1858
1572135,1893
1575352,1861
1577540,1875
1577638,1847
1577639,1854
1577824,1875
1578041,1897
1578053,1887
1578612,1870
1579077,1883
1579740,1880
1580354,1849
1580364,1830
1580801,1884
1580811,1802
1581604,1869
1581735,1885
1582480,1816
1583885,
1583968,1886
1584040,
1584984,1892
1585437,
1586536,1872
1586748,1888
1587122,1864
1587200,1863
1587383,1872
1587909,1869
1589377,1820
1589649,1833
1590172,1899
1590175,1854
1590963,1876
1591341,
1591389,1887
1591766,1898
1592477,1846
1593100,1895
1593656,1852
1594371,1810
1594428,1812
1595931,
1596236,1875
1596248,1866
1596465,1719
1597130,
1598041,1818
1598525,1889
1598527,1876
1599139,1831
1599601,
1599605,1895
1600530,1876
1600641,1897
1601049,1691
1602429,1880
1603373,
1603476,1869
1604442,1898
1604497,1883
1604508,1883
1604972,
1605249,1848
1606789,1807
1607582,1801
1609702,1865
1609819,1870
1610390,
1612203,1894
1612657,1844
1613999,1878
1614061,1888
1616063,1886
1616104,1890
1616116,1884
1616160,1883
1617259,1861
1619616,1876
1619637,1883
1619643,1881
1619650,1875
1619754,1882
1620191,1882
1620206,1880
1621212,1828
1621687,1868
1621692,1899
1622551,1844
1622745,1856
1623786,1856
1623793,1854
1623972,1889
1624017,1886
1624156,1884
1625121,1846
1625675,
1625714,1870
1625717,1874
1625720,1868
1628962,1875
1629074,1863
1630483,1885
1630608,1863
1630733,1823
1631051,1855
1631147,1880
1631626,1863
1632042,1850
1632466,1827
1632479,1829
1633450,1848
1633538,1896
1633819,1656.
1635623,
1635714,1829
1635730,1829
1637248,
1638192,1891
1638753,1868
1641260,1858
1641331,1877
1641350,1850
1642299,1881
1642333,1844
1643126,
1643300,1833
1644661,1896
1644666,1888
1644680,1864
1646777,1874
1647244,1661
1647999,1809
1648772,1873
1649164,1890
1649350,1865
1649439,1868
1649827,1891
1649937,
1649938,
1650799,1793
1650862,
1650970,1845
1651623,1850
1651738,1824
1653530,1823
1654281,1893
1654332,1897
1655310,1892
1656230,1886
1656280,
1656541,1880
1656644,1807
1656805,1854
1657869,1866
1657969,
1658385,1859
1658392,
1658393,
1658407,1853
1658422,1885
1658557,1830
1658581,1869
1658585,1882
1658926,1813
1659555,
1660008,1874
1660097,1828
1660099,1800
1660333,1895
1660961,1884
1660989,1884
1661172,
1661269,
1663276,1843
1663405,1890
1664204,
1664305,1673
1664546,1852
1664563,1883
1664646,1821
1664649,1824
1664652,1846
1664655,1858
1664656,1862
1664657,1875
1664660,1897
1664673,1847
1664680,1882
1664694,1893
1664997,1880
1665910,1859
1666128,1883
1668443,1890
1668863,1848
1669952,
1671856,1869
1671857,1866
1671858,1886
1672043,1892
1672044,
1672045,
1672046,1891
1672234,1848
1672240,1836
1672269,1885
1672384,1875
1672623,1869
1672625,1868
1672627,1872
1672786,1857
1672787,1838
1678598,1915
1678674,
1678679,
1680070,1875
1681057,
1681346,1892
1681347,1892
1681348,1894
1681801,1897
1682030,
1683425,1885
1683847,
1684326,1897
1684468,1897
1684972,1891
1685042,1845
1685584,1881
1687211,1873
1687570,1893
1687573,1876
1687575,1860
1688470,1826
1688529,1881
1688640,1897
1688742,1858
1689702,1834
1691232,
1691448,1896
1691916,1861
1693422,1860
1693829,
1694295,1855
1694394,1876
1694469,1874
1694498,1842
1696760,1819
1697185,1839
1697187,1839
1698517,1846
1698518,1846
1698519,1847
1698660,1897
1698719,1867
1699334,1873
1699335,1874
1699498,1885
1699998,1895
1700738,1861
1701054,1896
1701575,1896
1701812,1871
1702430,1891
1702431,1894
1702433,1891
1702929,1872
1704007,1896
1704017,1860
1704080,1845
1704542,1631
1706683,1870
1708251,
1708721,1852
1709765,1887
1709773,1893
1710676,1804
1711241,1875
1711476,1749
1711516,1875
1711822,1892
1712068,1877
1712135,1807
1713311,
1713480,1893
1713715,1870
1714548,1892
1714563,1858
1714689,1839
1715581,1887
1720376,1899
1720502,1859
1721334,1859
1721443,1804
1721654,1822
1722934,1725
1724866,1885
1726472,1795
1726474,1832
1726480,1751
1726516,1888
1726595,1862
1726616,1871
1726617,1872
1726624,1881
1726651,1856
1726652,1893
1726694,1896
1726696,1859
1727511,1838
1727634,1821
1728970,1850
1729451,1894
1729529,
1729548,
1730119,1866
1730332,1872
1733809,1756
1734024,1737
1734097,1753
1735804,1896
1736007,1863
1736089,1859
1736509,1872
1737086,1877
1738103,1864
1738205,1845
1738334,1892
1738699,
1738706,1876
1739811,1815
1739812,1815
1739950,1867
1740337,1890
1740663,1842
1741090,1875
1741480,1869
1741481,1870
1743448,1898
1743553,1861
1743723,1882
1743760,1869
1745265,1897
1745531,1865
1745619,1896
1745620,1898
1745822,1892
1745944,1891
1746234,1855
1746416,1717
1747060,1886
1747459,1819
1748117,1805
1748516,1890
1748776,1654
1749216,1886
1749619,1866
1750017,1865
1750158,
1750159,
1750172,1872
1751000,1882
1751091,
1752323,1897
1754130,1855
1754945,1856
1755719,1860
1755737,1824
1755885,1869
1756041,1874
1756042,1878
1756292,1891
1756660,1824
1757071,1898
1757076,1888
1758874,1737
1759168,
1759288,1866
1759958,1878
1759961,1887
1760060,
1760061,1857
1760247,1881
1760249,1887
1760251,1898
1760252,1886
1760256,1882
1760257,1886
1760258,1888
1760259,1891
1760260,1899
1760298,1880
1760306,1892
1760307,1893
1760403,1891
1761243,1877
1761245,1877
1761475,1853
1761542,1898
1761576,
1762040,1887
1762050,1860
1762285,1835
1762293,1836
1762302,1836
1762496,
1762547,1838
1763783,1860
1763903,1860
1764136,1844
1764279,1868
1764817,1836
1764842,1814
1764890,1814
1764892,1815
1764908,1824
1764990,1815
1765229,1856
1765236,1891
1765250,1884
1765288,1843
1766669,1875
1767431,1859
1767432,1859
1767442,1860
1767457,1877
1767463,1880
1767564,1869
1769127,
1769290,1834
1769332,1881
1769445,1869
1769553,1880
1771514,1886
1772140,1885
1772141,1894
1773332,1839
1774915,1897
1775400,1883
1775651,1858
1775775,1856
1776075,1893
1777262,1885
1777854,1828
1777870,1873
1778009,1899
1778215,1883
1778831,
1779035,1867
1779544,1819
1779593,1897
1781167,1878
1781291,1826
1781292,1827
1782251,
1782257,1878
1782261,1864
1782357,
1785745,1873
1786083,1805
1786460,1886
1787929,
1787930,
1788217,1852
1788567,1800
1789337,1873
1789765,1895
1789980,1873
1791401,1837
1791403,1838
1791863,1820
1792483,1797
1792726,1810
1793259,1698
1793337,1893
1793353,1884
1793709,
1793921,1791
1794371,1647
1798563,1790
1798997,1888
1799393,1690
1799649,1892
1799702,1867
1800407,1853
1800555,1863
1801063,1874
1801724,1852
1801888,1898
1803317,1869
1803458,1752
1807827,1891
1810122,1882
1812198,
1812854,1864
1812885,1895
1814020,1859
1814208,1823
1814210,1868
1818826,1796
1818869,1663
1819998,
1820574,1855
1820761,1864
1820917,1835
1820978,1896
1821779,1827
1822979,1875
1823010,1890
1823263,1884
1823645,1779
1823658,1890
1823663,1633
1824416,
1824718,
1824719,1862
1824901,1848
1824950,1871
1825232,1876
1825607,1825
1831817,1859
1831875,1859
1831919,1882
1832141,1890
1832148,1899
1832587,1847
1832753,1897
1833521,
1833811,1862
1834146,1898
1834603,
1834905,1804
1837830,1692
1838738,1884
1838739,1887
1838886,1897
1840486,1845
1841674,1863
1842585,1847
1843254,1870
1844591,1860
1845250,1783
1845815,1897
1846047,1896
1846073,1823
1846217,1888
1846218,1890
1846361,1849
1846455,1852
1847327,1875
1848080,1897
1848119,1819
1848459,1890
1850529,1840
1850547,1864
1850759,1853
1851057,1893
1851437,1897
1852138,1856
1852172,1878
1852176,1887
1852821,1861
1853692,1841
1854252,1879
1854253,1880
1854273,1841
1854770,1871
1855207,1872
1855791,1865
1856144,1853
1856769,1899
1857139,
1857537,1849
1857620,1673
1858108,1882
1858319,1860
1858666,1899
1858667,1886
1858978,1896
1859041,1896
1859240,
1859304,1895
1859383,1894
1860267,1819
1861480,1887
1861749,1899
1862068,1876
1862073,
1862126,1850
1862506,1898
1863215,1876
1863645,1877
1863652,1880
1864717,1890
1865015,1890
1865061,1881
1865063,1869
1865300,1895
1865511,1878
1865853,1882
1866335,
1866350,1895
1866711,1867
1866835,1884
1866969,1858
1866989,1887
1867533,1882
1867536,1885
1868021,1898
1869858,1891
1870447,1713
1871049,1779
1873834,1877
1874355,1874
1876770,1689
1876811,1879
1876953,1861
1877246,
1878522,1889
1878547,1821
1880110,1899
1882514,1878
1886779,
1886877,1792
1886881,1806
1887109,1817
1887174,1897
1887181,1893
1887185,1895
1887195,1894
1887208,1894
1887400,1888
1888248,1877
1888270,1889
1889397,1872
1889398,1899
1889816,1821
1890173,1890
1890613,1889
1890799,1819
1891843,1864
1893100,1880
1894328,1855
1894767,1893
1895618,1892
1896918,
1897488,1875
1898896,1898
1900217,1807
1900412,1873
1900414,1877
1900781,1875
1900791,1811
1900808,1863
1901000,1783
1901067,
1901488,1871
1903585,1891
1904227,1736
1904424,1894
1905471,1892
1906438,
1906757,
1907135,
1907138,1700
1908865,
1908904,1881
1909034,1824
1909051,
1909222,1823
1910127,
1910778,1897
1911309,1798
1911890,1883
1913262,1856
1913415,1878
1913751,1892
1913755,
1913883,1889
1913884,1890
1914132,1887
1914792,1889
1914892,
1916239,1818
1916251,1869
1916314,1791
1916390,1837
1916714,1895
1916830,1852
1916949,
1917068,1872
1917765,1842
1918158,
1921697,1814
1922832,1892
1923159,1888
1923579,1890
1924380,1828
1924397,
1925023,1878
1925648,1895
1925912,1848
1926212,1824
1926433,1897
1926534,1835
1927781,1899
1928017,1828
1929761,1887
1929826,1893
1930129,1896
1930766,1899
1930912,1890
1932902,1861
1933686,1833
1934234,1870
1935235,1878
1935285,1824
1938040,1809
1938041,1857
1938095,1879
1938176,1825
1938242,1854
1938245,
1938256,1884
1938260,
1938261,
1938263,1895
1938348,1896
1938479,1885.
1938502,1898
1938510,1888
1938652,1874
1938653,1875
1938692,
1938770,
1939016,
1939565,1893
1939649,1829
1940699,1848
1940701,1850
1940709,1848
1941033,1870
1941961,1875
1942104,1873
1944264,
1945554,1889
1945818,1876
1946736,1839
1947126,1861
1947127,1861
1948373,1884
1948591,1860
1949212,1865
1949483,1890
1949895,1893
1950496,1772
1950497,1772
1950583,1876
1950588,1877
1950613,
1951539,
1952716,1846
1952723,1853
1953523,1868
1953752,1868
1953757,1889
1954051,1887
1954077,1872
1955921,1847
1957253,1899
1958657,1895
1958662,1861
1958707,1886
1959026,1833
1959398,
1960099,1859
1961854,1879
1961865,1870
1961867,1852
1962982,1881
1965006,1828
1965549,1866
1965901,1895
1966173,1895
1966440,1883
1966784,1815
1966999,1891
1967055,
1967527,1875
1967882,1898
1968082,1895
1968313,1846
1968357,1898
1969047,1860
1969281,1881
1969586,1899
1969985,1897
1970021,1896
1970022,1896
1970026,
1970460,1894
1971050,1885
1971122,1885
1971296,1890
1971493,1801
1971938,1879
1972553,
1972712,1897
1973428,1892
1973527,1895
1974432,1888
1974439,1891
1975511,1892
1975928,1802
1976228,1864
1978685,
1979142,1894
1980260,1891
1980292,1855
1980409,1814
1981337,1876
1981555,1879
1984689,1861
1985116,1874
1985570,1861
1986528,1877
1986529,1878
1986605,1881
1986775,
1988639,
1989952,1887
1990560,1871
1991735,1831
1992215,1843
1994104,1881
1994168,1831
1996167,1869
1999307,1844
1999689,1839
2001156,1890
2002031,1899
2002064,1868
2004258,1842
2004490,1820
2005681,1826
2006399,1854
2006980,1898
2006982,1880
2007054,1891
2007084,1863
2007087,1866
2009583,1863
2010420,1861
2011455,1885
2011456,1861
2012641,1799
2012803,1798
2012808,1798
2012840,1799
2012940,1799
2013047,1821
2013905,1889
2017864,1860
2019055,1865
2019572,1889
2019578,1894
2019953,1895
2020832,1887
2023224,1894
2024182,1864
2025808,1892
2025836,1886
2026009,1891
2027195,1848
2027403,1898
2029579,1889
2031095,
2032028,
2036901,1882
2037380,1897
2040589,1822
2040652,1870
2040885,1829
2040974,1869
2041019,1843
2041404,1817
2041792,
2041852,1840
2041950,1765
2041951,1765
2041974,1857
2042071,
2042077,1894
2042079,1896
2042080,1889
2042649,1802
2042808,1815
2043586,1853
2043707,1839
2044055,1837
2044248,1860
2044323,
2044369,1895
2044973,1816
2044974,
2045655,1836
2045981,
2046523,1883
2046725,1871
2046816,1864
2048346,1864
2048616,1856
2048659,1874
2048675,1781
2048682,1859
2048804,1834
2048809,1870
2048810,
2048908,1837
2048932,1818
2049098,1814
2049118,1883
2049185,1878
2049314,1842
2049367,1801
2049483,1860
2049526,1860
2050060,1843
2050264,1877
2050494,1887
2050725,1785
2052320,
2052741,1854
2054714,1800
2054869,1872
2054885,1895
2054993,1837
2055599,1857
2055834,1798
2056263,1886
2056684,
2057897,1849
2058054,1865
2058055,1868
2058063,1895
2058064,1899
2058081,1840
2058094,1885
2058234,1893
2058274,1889
2059672,1893
2061105,1850
2061621,1876
2061647,1810
2061890,1874
2062242,1886
2063563,1807
2063817,1842
2063818,1844
2064288,1873
2064922,
2065683,1830
2066162,1840
2066439,
2066440,
2066572,1897
2066638,1898
2067075,1875
2067107,1868
2067511,1860
2067522,1896
2067815,1879
2068394,1888
2068414,1895
2068604,1890
2069443,1891
2069483,1883
2069534,1847
2069623,1863
2069803,1849
2071269,1863
2071411,1884
2072653,1886
2073109,1880
2073530,1892
2073559,1871
2073651,1876
2073652,1881
2073988,1888
2076552,1845
2076554,1857
2076805,1860
2077325,1837
2078287,1888
2078454,1895
2078577,1890
2078946,1800
2079265,1853
2081122,1821
2083736,1883
2083948,1857
2084947,1882
2087615,1816
2087775,1877
2087776,1890
2087797,1864
2088223,1866
2088777,1886
2089065,1842
2089066,1849
2090331,1855
2090435,1885
2090632,1868
2090636,1852
2090693,
2090985,1898
2091375,1886
2092219,1860
2093477,1774
2093741,1874
2095748,1884
2096045,
2096843,
2096847,1843
2097103,
2097182,1830
2097196,1824
2097311,
2097479,1892
2098329,1882
2101017,1876
2101175,1817
2101193,
2101288,1873
2101309,1677
2102256,1865
2102452,1889
2102687,1859
2102688,1859
2102689,1859
2102690,1859
2102691,1859
2103775,1894
2104042,1888
2104273,1857
2104279,1889
2105696,1886
2105711,1888
2106947,1851
2108164,1820
2108304,1876
2108479,1878
2109126,1811
2110032,1869
2110298,
2110349,1827
2110350,1870
2110823,1872
2110991,1867
2111928,1844
2112645,1866
2112964,1859
2113075,1893
2113167,1888
2113168,1889
2113169,1892
2113941,1896
2115976,1891
2116345,1792
2116663,1776
2116673,1880
2117137,1866
2117918,1866
2118236,1892
2118653,1840
2118830,1851
2120192,
2121080,
2121097,
2121795,1883
2121821,
2122320,1840
2122323,1830
2124107,1862
2124502,1897
2124863,1896
2124920,1897
2125120,1841
2125323,
2125324,1879
2125437,1881
2125555,1846
2125922,1836
2126163,1897
2126506,1860
2126805,1881
2127990,1894
2128357,1881
2128359,1886
2128671,1883
2129301,1848
2131712,1800
2131714,1895
2132066,1854
2132216,1860
2132535,1873
2133643,1886
2134965,1806
2135527,1839
2135734,1832
2136088,1892
2137545,1845
2137601,1899
2138600,1862
2138808,1852
2138828,1858
2138875,1835
2139575,1846
2139738,
2140242,1883
2140259,1886
2141144,1893
2141563,1774
2141897,1851
2142867,
2142868,
2142895,1879
2143055,1875
2144333,1860
2144677,1786
2144965,1880
2145210,1890
2145541,1875
2145610,1889
2145674,1896
2146331,
2147186,1729
2147997,1841
2147999,1823
2148001,1829
2149293,1839
2150766,1897
2150803,1859
2150813,1859
2150825,1857
2150838,1858
2150875,1858
2150889,1857
2152420,1898
2152753,1893
2153345,1840
2154211,1848
2154616,1880
2154899,1862
2155480,1874
2156378,1897
2157283,1806
2157285,1814
2157286,1814
2157287,1815
2157987,1855
2157988,1857
2159580,1819
2159584,1818
2159891,1891
2160473,1886
2161070,
2162459,1877
2162569,1868
2163169,1812
2166833,1882
2167016,1775
2167220,1890
2167227,1870
2167238,1860
2167255,1890
2167266,1890
2167943,1871
2167944,1873
2168471,1889
2168472,1893
2168691,1879
2168695,1891
2168981,1889
2171555,1816
2171669,1835
2171804,1890
2174483,1806
2174489,1896
2175336,1833
2175337,1834
2175698,1895
2176383,1854
2176536,1879
2176644,1815
2176778,1855
2178184,1811
2179355,1875
2179356,1876
2179454,1748
2179531,
2180183,1866
2182134,1852
2182417,1819
2182535,1886
2183088,1823
2184886,1804
2185287,1872
2194623,1841
2201367,1869
